date,equity
2016-08-23,4.287872346779623
2016-08-24,4.205220846155563
2016-08-25,4.185330356243187
2016-08-26,4.205564651782306
2016-08-29,4.217224607678257
2016-08-30,4.179157161376736
2016-08-31,4.168182461901207
2016-09-01,4.1867016540283855
2016-09-02,4.235743407333258
2016-09-06,4.314277874824309
2016-09-07,4.3221661731026995
2016-09-08,4.248089797066162
2016-09-09,3.9260620589348627
2016-09-12,4.127372812501466
2016-09-13,4.029974954784319
2016-09-14,4.0817596961317655
2016-09-15,4.271066688175677
2016-09-16,4.2662663609831295
2016-09-19,4.2103649789748525
2016-09-20,4.233686068183285
2016-09-21,4.356804589996872
2016-09-22,4.458660146696354
2016-09-23,4.378410183321188
2016-09-26,4.269695390390478
2016-09-27,4.390756573054092
2016-09-28,4.414762133738593
2016-09-29,4.321137503527713
2016-09-30,4.409960236657339
2016-10-03,4.400015776645504
2016-10-04,4.374979584025133
2016-10-05,4.420592700394834
2016-10-06,4.413733464163607
2016-10-07,4.384925613925675
2016-10-10,4.4634600814167245
2016-10-11,4.278954986454068
2016-10-12,4.270037626128514
2016-10-13,4.219968380665183
2016-10-14,4.229570604938983
2016-10-17,4.200420518963017
2016-10-18,4.308105072430033
2016-10-19,4.309820175841974
2016-10-20,4.291643611925005
2016-10-21,4.338285397869692
2016-10-24,4.49638300242678
2016-10-25,4.451457889782739
2016-10-26,4.366064186060461
2016-10-27,4.305018278760721
2016-10-28,4.23059927451397
2016-10-31,4.206593713829469
2016-11-01,4.120170948060029
2016-11-02,4.012827060442341
2016-11-03,3.8972546011691085
2016-11-04,3.8530143524733127
2016-11-07,4.129086346024699
2016-11-08,4.210022350764641
2016-11-09,4.2690089565535265
2016-11-10,4.065984669463688
2016-11-11,4.062555640056341
2016-11-14,3.925375625097911
2016-11-15,4.107138124490172
2016-11-16,4.1740130285574475
2016-11-17,4.270724059965465
2016-11-18,4.222710976235579
2016-11-21,4.3496027255554335
2016-11-22,4.388698841431941
2016-11-23,4.335883860620801
2016-11-25,4.377723749484236
2016-11-28,4.353373990700817
2016-11-29,4.395214272036427
2016-11-30,4.252891694147415
2016-12-01,4.019344453407709
2016-12-02,4.0354617158138195
2016-12-05,4.128744110286664
2016-12-06,4.158580237627406
2016-12-07,4.312906577039111
2016-12-08,4.339314459916857
2016-12-09,4.440825426045245
2016-12-12,4.379095047269434
2016-12-13,4.550227045285084
2016-12-14,4.51695992617611
2016-12-15,4.544396086156667
2016-12-16,4.489181137985342
2016-12-19,4.5440538504186305
2016-12-20,4.598924992963215
2016-12-21,4.582805768196222
2016-12-22,4.543025180843645
2016-12-23,4.5570847116276045
2016-12-27,4.623616987484669
2016-12-28,4.516617690438077
2016-12-29,4.494669468903548
2016-12-30,4.363320020601358
2017-01-03,4.468948412334931
2017-01-04,4.545082912465795
2017-01-05,4.6256747191068195
2017-01-06,4.742962674264167
2017-01-09,4.790976150466229
2017-01-10,4.818410740558079
2017-01-11,4.855449124812436
2017-01-12,4.830756737818806
2017-01-13,4.886314314200343
2017-01-17,4.840360531981314
2017-01-18,4.87328345299137
2017-01-19,4.86025102189369
2017-01-20,4.891802645118549
2017-01-23,4.90277577470537
2017-01-24,5.004975137031593
2017-01-25,5.1510709424268715
2017-01-26,5.1723323376522705
2017-01-27,5.1970247246459005
2017-01-30,5.079051905540308
2017-01-31,5.050928919250622
2017-02-01,5.14695547918257
2017-02-02,5.133923048084893
2017-02-03,5.178505532518722
2017-02-06,5.197711158482852
2017-02-07,5.251211003242238
2017-02-08,5.280704894844946
2017-02-09,5.3355760373895285
2017-02-10,5.388389448311962
2017-02-13,5.483042748097828
2017-02-14,5.534484861235064
2017-02-15,5.62982498733006
2017-02-16,5.625023090248806
2017-02-17,5.695670829350171
2017-02-21,5.786209058363914
2017-02-22,5.786895492200866
2017-02-23,5.724478287115928
2017-02-24,5.755343476503832
2017-02-27,5.772491370845813
2017-02-28,5.727222452575028
2017-03-01,5.91241398137464
2017-03-02,5.81913197937397
2017-03-03,5.849310734924924
2017-03-06,5.808843321263217
2017-03-07,5.780035863497464
2017-03-08,5.80952975510017
2017-03-09,5.827362513390397
2017-03-10,5.8911506237883575
2017-03-13,5.9254448425836115
2017-03-14,5.881548791986733
2017-03-15,5.984433018261204
2017-03-16,5.981002418965146
2017-03-17,5.966598690082271
2017-03-20,5.984433018261204
2017-03-21,5.717618658412523
2017-03-22,5.830106678849498
2017-03-23,5.783464892904811
2017-03-24,5.815016516129668
2017-03-27,5.845881705517574
2017-03-28,5.955625560495448
2017-03-29,6.034502263724533
2017-03-30,6.0646825891641924
2017-03-31,6.050278860281316
2017-04-03,6.037246429183637
2017-04-04,6.0646825891641924
2017-04-05,5.9954061478480245
2017-04-06,6.000208044929278
2017-04-07,5.993348416225875
2017-04-10,6.000208044929278
2017-04-11,5.924760371107542
2017-04-12,5.846568139354527
2017-04-13,5.7772916980383595
2017-04-17,5.914471712996789
2017-04-18,5.897323818654808
2017-04-19,5.917900742404138
2017-04-20,6.061251989868137
2017-04-21,6.058509786769918
2017-04-24,6.278681968201734
2017-04-25,6.417918144893608
2017-04-26,6.389796728492629
2017-04-27,6.501596745203946
2017-04-28,6.538635129458303
2017-05-01,6.703249734508583
2017-05-02,6.743032284222044
2017-05-03,6.676499615892802
2017-05-04,6.683359244596207
2017-05-05,6.756064715319724
2017-05-08,6.796531736509253
2017-05-09,6.8712953313270955
2017-05-10,6.882268068441741
2017-05-11,6.865807000408891
2017-05-12,6.910391054731428
2017-05-15,6.9748640290776365
2017-05-16,7.062660054993157
2017-05-17,6.528346471347552
2017-05-18,6.693647510234783
2017-05-19,6.774583907446901
2017-05-22,6.95017203455618
2017-05-23,6.967319928898161
2017-05-24,7.063344526469226
2017-05-25,7.249222489105788
2017-05-26,7.280088070965871
2017-05-30,7.2951778412135235
2017-05-31,7.286260873360145
2017-06-01,7.37337007296654
2017-06-02,7.625092307734507
2017-06-05,7.618919505340231
2017-06-06,7.532496347098613
2017-06-07,7.614804042095931
2017-06-08,7.635380573373083
2017-06-09,7.08323658627031
2017-06-12,6.954973539165257
2017-06-13,7.117530805065565
2017-06-14,7.022190678970568
2017-06-15,6.927537379184703
2017-06-16,6.844545212711315
2017-06-19,7.175832546906203
2017-06-20,7.013275281005897
2017-06-21,7.216986394404861
2017-06-22,7.208755467916259
2017-06-23,7.289689510295317
2017-06-26,7.192978871359476
2017-06-27,6.797218562818381
2017-06-28,7.08254975996118
2017-06-29,6.7217689266357645
2017-06-30,6.6984497997882135
2017-07-03,6.516000474086826
2017-07-05,6.701878436723385
2017-07-06,6.5249174419402
2017-07-07,6.720397628850563
2017-07-10,6.861006280744166
2017-07-11,6.917249113546125
2017-07-12,7.163486157173301
2017-07-13,7.210812807066234
2017-07-14,7.380228131781237
2017-07-17,7.384343595025538
2017-07-18,7.531125049313415
2017-07-19,7.668990320692268
2017-07-20,7.697797778458022
2017-07-21,7.686138215034249
2017-07-24,7.786278275849615
2017-07-25,7.734149336403251
2017-07-26,7.803426170191595
2017-07-27,7.6641880311388375
2017-07-28,7.639496036617384
2017-07-31,7.540042802111147
2017-08-01,7.589426791154054
2017-08-02,7.644984367535591
2017-08-03,7.56541926810867
2017-08-04,7.594913552183552
2017-08-07,7.7293494016828825
2017-08-08,7.700541943917126
2017-08-09,7.670361618477466
2017-08-10,7.172401555137971
2017-08-11,7.336331688712183
2017-08-14,7.621663670799334
2017-08-15,7.635380573373083
2017-08-16,7.675163123086543
2017-08-17,7.203267136998053
2017-08-18,7.177889886056176
2017-08-21,7.164857454958497
2017-08-22,7.483798399420482
2017-08-23,7.40012019158232
2017-08-24,7.3383898128065095
2017-08-25,7.289005038819249
2017-08-28,7.352793541689387
2017-08-29,7.443331378230952
2017-08-30,7.701226415393195
2017-08-31,7.9200280839841675
2017-09-01,7.914541322954666
2017-09-05,7.7025992830671
2017-09-06,7.769130381507634
2017-09-07,7.817143857709698
2017-09-08,7.624407836258437
2017-09-11,7.867214673061733
2017-09-12,7.933744986557914
2017-09-13,7.966667907567972
2017-09-14,7.832233627957352
2017-09-15,7.895335304518359
2017-09-18,7.876130071026405
2017-09-19,7.9097390334012365
2017-09-20,7.843893191381125
2017-09-21,7.692996273848946
2017-09-22,7.673791825301346
2017-09-25,7.433043112592376
2017-09-26,7.483798399420482
2017-09-27,7.686822686510317
2017-09-28,7.673791825301346
2017-09-29,7.836349091201652
2017-10-02,7.858296920264002
2017-10-03,7.907681694251263
2017-10-04,7.928258225528415
2017-10-05,8.156661333448834
2017-10-06,8.186155617523717
2017-10-09,8.165578301302212
2017-10-10,8.182724625755485
2017-10-11,8.254058798693803
2017-10-12,8.209474744371269
