name,cost_bps,tax_mode,tax_rate,CAGR,MDD,Sharpe,Sortino,Calmar,WorstYear,WorstMonth,MaxTUW,MedianTUW,TradesPerYear,AnnualTurnover,FinalValue,NumDays
V4_D1_Ensemble,5,Tax0,0.2,0.3757167971896036,-0.48823889061441683,0.9365848811966883,1.0105862350361003,0.7695347593404296,-0.37127037994760914,-0.3347158469147832,569,3.0,3.2162162162162162,2.8945945945945946,157.28046204624283,3996
V4_D1_Ensemble,5,Tax0,0.25,0.3757167971896036,-0.48823889061441683,0.9365848811966883,1.0105862350361003,0.7695347593404296,-0.37127037994760914,-0.3347158469147832,569,3.0,3.2162162162162162,2.8945945945945946,157.28046204624283,3996
V4_D1_Ensemble,5,TaxB,0.0,0.3757167971896036,-0.48823889061441683,0.9365848811966883,1.0105862350361003,0.7695347593404296,-0.37127037994760914,-0.3347158469147832,569,3.0,3.2162162162162162,2.8945945945945946,157.28046204624283,3996
V4_D1_Ensemble,5,TaxB,0.1,0.3411547305753013,-0.4911757065134743,0.880140637759488,0.9174559561109347,0.6945675978092017,-0.37127037994760814,-0.33478171380213095,594,3.0,3.2162162162162162,2.8945945945945946,105.06326750651895,3996
V4_D1_Ensemble,5,TaxB,0.2,0.30745029684314407,-0.4940958148982926,0.8236534398468756,0.8262959721204375,0.6222483323531719,-0.3712703799476085,-0.3348475744524815,600,3.0,3.2162162162162162,2.8945945945945946,70.17312840616873,3996
V4_D1_Ensemble,5,TaxB,0.25,0.290913104117545,-0.4955496332369599,0.795395184932294,0.7816374991340829,0.5870513962794871,-0.37127037994760825,-0.3348805024389597,601,3.0,3.2162162162162162,2.8945945945945946,57.3468701241233,3996
V4_D1_Ensemble,10,Tax0,0.0,0.3737272151962441,-0.4905786374126293,0.9333668635485017,1.0053781086738725,0.7618089877849682,-0.37213397412790195,-0.33561108968940434,569,3.0,3.2162162162162162,2.8945945945945946,153.71206745747824,3996
V4_D1_Ensemble,10,Tax0,0.1,0.3737272151962441,-0.4905786374126293,0.9333668635485017,1.0053781086738725,0.7618089877849682,-0.37213397412790195,-0.33561108968940434,569,3.0,3.2162162162162162,2.8945945945945946,153.71206745747824,3996
V4_D1_Ensemble,10,Tax0,0.2,0.3737272151962441,-0.4905786374126293,0.9333668635485017,1.0053781086738725,0.7618089877849682,-0.37213397412790195,-0.33561108968940434,569,3.0,3.2162162162162162,2.8945945945945946,153.71206745747824,3996
V4_D1_Ensemble,10,Tax0,0.25,0.3737272151962441,-0.4905786374126293,0.9333668635485017,1.0053781086738725,0.7618089877849682,-0.37213397412790195,-0.33561108968940434,569,3.0,3.2162162162162162,2.8945945945945946,153.71206745747824,3996
V4_D1_Ensemble,10,TaxB,0.0,0.3737272151962441,-0.4905786374126293,0.9333668635485017,1.0053781086738725,0.7618089877849682,-0.37213397412790195,-0.33561108968940434,569,3.0,3.2162162162162162,2.8945945945945946,153.71206745747824,3996
V4_D1_Ensemble,10,TaxB,0.1,0.3393175363756802,-0.49348119474339935,0.8770925798814326,0.9126477512770373,0.68759973022299,-0.3721339741279026,-0.335662912774662,594,3.0,3.2162162162162162,2.8945945945945946,102.80415383929983,3996
V4_D1_Ensemble,10,TaxB,0.2,0.30575914366205814,-0.49636735712863334,0.820775507698763,0.821872353478238,0.6159936572598202,-0.37213397412790217,-0.3357147319938272,601,3.0,3.2162162162162162,2.8945945945945946,68.74756861684428,3996
V4_D1_Ensemble,10,TaxB,0.25,0.28929266011683974,-0.497804318923353,0.7926023709414298,0.7773995330135471,0.5811373045989627,-0.3721339741279027,-0.3357406401537101,601,3.0,3.2162162162162162,2.8945945945945946,56.21596402159316,3996
V4_D1_Ensemble,15,Tax0,0.0,0.3717396158444617,-0.4929087540998237,0.9301459220802547,1.0000982008346624,0.7541753169374166,-0.37299677721564106,-0.3365055289915634,576,3.0,3.2162162162162162,2.8945945945945946,150.223079210758,3996
V4_D1_Ensemble,15,Tax0,0.1,0.3717396158444617,-0.4929087540998237,0.9301459220802547,1.0000982008346624,0.7541753169374166,-0.37299677721564106,-0.3365055289915634,576,3.0,3.2162162162162162,2.8945945945945946,150.223079210758,3996
V4_D1_Ensemble,15,Tax0,0.2,0.3717396158444617,-0.4929087540998237,0.9301459220802547,1.0000982008346624,0.7541753169374166,-0.37299677721564106,-0.3365055289915634,576,3.0,3.2162162162162162,2.8945945945945946,150.223079210758,3996
V4_D1_Ensemble,15,Tax0,0.25,0.3717396158444617,-0.4929087540998237,0.9301459220802547,1.0000982008346624,0.7541753169374166,-0.37299677721564106,-0.3365055289915634,576,3.0,3.2162162162162162,2.8945945945945946,150.223079210758,3996
V4_D1_Ensemble,15,TaxB,0.0,0.3717396158444617,-0.4929087540998237,0.9301459220802547,1.0000982008346624,0.7541753169374166,-0.37299677721564106,-0.3365055289915634,576,3.0,3.2162162162162162,2.8945945945945946,150.223079210758,3996
V4_D1_Ensemble,15,TaxB,0.1,0.337481988104277,-0.4957772975369704,0.8740417749090815,0.9077707034839412,0.6807128720514088,-0.3729967772156412,-0.3365433440530986,595,3.0,3.2162162162162162,2.8945945945945946,100.59257805949389,3996
V4_D1_Ensemble,15,TaxB,0.2,0.3040693303137958,-0.49862975445383717,0.8178950047752265,0.8173842893177868,0.6098098390595468,-0.3729967772156404,-0.33658115705333835,601,3.0,3.2162162162162162,2.8945945945945946,67.35027474603164,3996
V4_D1_Ensemble,15,TaxB,0.25,0.28767341385583145,-0.5000499784314818,0.7898070742073975,0.7730382368169487,0.5752893235955798,-0.37299677721564095,-0.3366000627805068,601,3.0,3.2162162162162162,2.8945945945945946,55.10679233010264,3996
V4_D1_Ensemble,20,Tax0,0.0,0.3697539980500524,-0.4952292759180744,0.9269220875612122,0.9948945586383263,0.746631946111402,-0.37385878957329954,-0.337399165181971,594,3.0,3.2162162162162162,2.8945945945945946,146.81176490655912,3996
V4_D1_Ensemble,20,Tax0,0.1,0.3697539980500524,-0.4952292759180744,0.9269220875612122,0.9948945586383263,0.746631946111402,-0.37385878957329954,-0.337399165181971,594,3.0,3.2162162162162162,2.8945945945945946,146.81176490655912,3996
V4_D1_Ensemble,20,Tax0,0.2,0.3697539980500524,-0.4952292759180744,0.9269220875612122,0.9948945586383263,0.746631946111402,-0.37385878957329954,-0.337399165181971,594,3.0,3.2162162162162162,2.8945945945945946,146.81176490655912,3996
V4_D1_Ensemble,20,Tax0,0.25,0.3697539980500524,-0.4952292759180744,0.9269220875612122,0.9948945586383263,0.746631946111402,-0.37385878957329954,-0.337399165181971,594,3.0,3.2162162162162162,2.8945945945945946,146.81176490655912,3996
V4_D1_Ensemble,20,TaxB,0.0,0.3697539980500524,-0.4952292759180744,0.9269220875612122,0.9948945586383263,0.746631946111402,-0.37385878957329954,-0.337399165181971,594,3.0,3.2162162162162162,2.8945945945945946,146.81176490655912,3996
V4_D1_Ensemble,20,TaxB,0.1,0.33564808510960153,-0.498064048772338,0.8709882519733539,0.9029633654162195,0.6739054664494047,-0.37385878957329943,-0.337423007952837,595,3.0,3.2162162162162162,2.8945945945945946,98.42756176373616,3996
V4_D1_Ensemble,20,TaxB,0.2,0.30238085649733293,-0.5008830394252635,0.815011958570288,0.8130235101103871,0.6036955390709552,-0.37385878957329977,-0.33744684990314655,601,3.0,3.2162162162162162,2.8945945945945946,65.98070018747853,3996
V4_D1_Ensemble,20,TaxB,0.25,0.28605536518059016,-0.5022866436630261,0.7870093214062955,0.7688597932660897,0.569506214806896,-0.37385878957329954,-0.3374587705705997,602,3.0,3.2162162162162162,2.8945945945945946,54.0189483390828,3996
V5_Combo_SGOV_MA200,0,Tax0,0.0,0.3606070006923445,-0.5111521571594528,0.914531620855755,0.9341102941263617,0.705478780909955,-0.3433867549177658,-0.3388847257600488,595,3.0,6.117117117117117,3.298198198198198,132.01356142607978,3996
V5_Combo_SGOV_MA200,0,Tax0,0.1,0.3606070006923445,-0.5111521571594528,0.914531620855755,0.9341102941263617,0.705478780909955,-0.3433867549177658,-0.3388847257600488,595,3.0,6.117117117117117,3.298198198198198,132.01356142607978,3996
V5_Combo_SGOV_MA200,0,Tax0,0.2,0.3606070006923445,-0.5111521571594528,0.914531620855755,0.9341102941263617,0.705478780909955,-0.3433867549177658,-0.3388847257600488,595,3.0,6.117117117117117,3.298198198198198,132.01356142607978,3996
V5_Combo_SGOV_MA200,0,Tax0,0.25,0.3606070006923445,-0.5111521571594528,0.914531620855755,0.9341102941263617,0.705478780909955,-0.3433867549177658,-0.3388847257600488,595,3.0,6.117117117117117,3.298198198198198,132.01356142607978,3996
V5_Combo_SGOV_MA200,0,TaxB,0.0,0.3606070006923445,-0.5111521571594528,0.914531620855755,0.9341102941263617,0.705478780909955,-0.3433867549177658,-0.3388847257600488,595,3.0,6.117117117117117,3.298198198198198,132.01356142607978,3996
