date,exposure_suggested,spy_ret_1d,overlay_ret_1d,overlay_equity
2022-06-03,0.7064479638,-0.0164135504,-0.0115406387,1.0961206473
2022-06-06,0.7154435859,0.0030412542,0.0021484878,1.0984756492
2022-06-07,0.7245668848,0.0095908658,0.0068617234,1.1060130853
2022-06-08,0.6909913432,-0.0108669155,-0.0078738071,1.0973045516
2022-06-09,0.6807008022,-0.0237867173,-0.0164364158,1.0792687978
2022-06-10,0.6672679731,-0.0289938811,-0.0197361581,1.0579681781
2022-06-13,0.6504163688,-0.0379624691,-0.0253311398,1.0311686383
2022-06-14,0.6401547636,-0.0030202053,-0.0019643910,1.0291430200
2022-06-15,0.6332100632,0.0142580876,0.0091273827,1.0385364022
2022-06-16,0.6121618043,-0.0330941714,-0.0209555624,1.0167732878
2022-06-17,0.5941776398,0.0021600180,0.0013222805,1.0181177473
2022-06-21,0.6100886968,0.0251762250,0.0149591500,1.0333479234
2022-06-22,0.6017001836,-0.0018139709,-0.0011066831,1.0322043347
2022-06-23,0.6211644169,0.0098004618,0.0058969397,1.0382911814
2022-06-24,0.6311099038,0.0317962180,0.0197506792,1.0587981374
2022-06-27,0.6284042708,-0.0038217104,-0.0024119193,1.0562444018
2022-06-28,0.6177822143,-0.0204320938,-0.0128396150,1.0426826303
2022-06-29,0.6162767972,-0.0008144346,-0.0005031432,1.0421580116
2022-06-30,0.6135066378,-0.0081263676,-0.0050080918,1.0369387886
2022-07-01,0.6273094382,0.0105783045,0.0064898601,1.0436683762
2022-07-05,0.6323373458,0.0018910401,0.0011862673,1.0449064459
2022-07-06,0.6244548539,0.0033745690,0.0021338660,1.0471361362
2022-07-07,0.6474156843,0.0149811209,0.0093550337,1.0569321300
2022-07-08,0.6551512000,-0.0008290632,-0.0005367485,1.0563648233
2022-07-11,0.6424864682,-0.0114237994,-0.0074843159,1.0484586553
2022-07-12,0.6320683276,-0.0088455561,-0.0056831501,1.0425001073
2022-07-13,0.6302570384,-0.0052530793,-0.0033203051,1.0390386890
2022-07-14,0.6194866266,-0.0024275844,-0.0015300021,1.0374489575
2022-07-15,0.6280848839,0.0191045631,0.0118350213,1.0497271881
2022-07-18,0.6346595715,-0.0082522069,-0.0051830864,1.0442863614
2022-07-19,0.6428286986,0.0270135558,0.0171444118,1.0621900367
2022-07-20,0.6373997706,0.0063781768,0.0041000751,1.0665450956
2022-07-21,0.6526565843,0.0101799342,0.0064886877,1.0734655737
2022-07-22,0.6555912525,-0.0092764814,-0.0060543567,1.0669664303
2022-07-25,0.6757378724,0.0012191301,0.0007992510,1.0678192043
2022-07-26,0.6740439782,-0.0118371984,-0.0079988433,1.0592778858
2022-07-27,0.7067186608,0.0259673552,0.0175031394,1.0778185743
2022-07-28,0.7072009803,0.0125422181,0.0088638196,1.0873721637
2022-07-29,0.6997390491,0.0145772968,0.0103090786,1.0985819688
2022-08-01,0.7161079837,-0.0029594241,-0.0020708246,1.0963069982
2022-08-02,0.7111868535,-0.0065974254,-0.0047244690,1.0911275299
2022-08-03,0.7192962652,0.0156610902,0.0111379615,1.1032804663
2022-08-04,0.6990387695,-0.0006827498,-0.0004910994,1.1027386459
2022-08-05,0.7223100906,-0.0016879460,-0.0011799397,1.1014374808
2022-08-08,0.7250467799,-0.0011573928,-0.0008359965,1.1005166829
2022-08-09,0.7373184258,-0.0039749613,-0.0028820329,1.0973449576
2022-08-10,0.7471810571,0.0210062037,0.0154882611,1.1143409228
2022-08-11,0.7550673800,0.0000000000,0.0000000000,1.1143409228
2022-08-12,0.7657579322,0.0169278671,0.0127816802,1.1285840722
2022-08-15,0.7580561726,0.0041213308,0.0031559418,1.1321458178
2022-08-16,0.7595348697,0.0019600280,0.0014858114,1.1338279729
2022-08-17,0.7490637321,-0.0070984658,-0.0053915323,1.1277149028
2022-08-18,0.7730785009,0.0029113785,0.0021808081,1.1301742325
2022-08-19,0.7714579936,-0.0134375859,-0.0103883087,1.1184336337
2022-08-22,0.7574992895,-0.0208264536,-0.0160667341,1.1004640579
2022-08-23,0.7447780729,-0.0024186384,-0.0018321168,1.0984478791
2022-08-24,0.7482699798,0.0031990312,0.0023825683,1.1010650062
2022-08-25,0.7583459169,0.0141183690,0.0105643517,1.1126970441
